CGPA,Did you do webdev during college time ?,Are you good at Data analysis ?,reading and writing skills,Are you a tech person ?,Were you in a non tech society ?,Are you good at coding ?,Have you developed mobile apps ?,Are you good at communication ?,Do you have specialization in security,Have you ever handled large databases ?,Do you have knowlege of statistics and data science?,Are you proficient in English ?,Have you ever managed some event?,Do you write technical blogs ?,Are you into marketing ?,Are you a ML expert ?,Do you have a lot of connections ?,Have you ever built live project ?,Role
8,NaN,no,excellent,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,Developer
8.8,yes,no,poor,yes,no,NaN,no,no,no,no,yes,NaN,no,no,no,yes,no,no,ML engineer
7.9,no,no,poor,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,Management
8,yes,no,medium,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,Developer
6.4,no,no,poor,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,yes,no,Marketing
7.2,yes,no,poor,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,Network Engineer
8.4,yes,no,excellent,yes,NaN,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,Developer
7.3,no,yes,poor,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,Data Engineer
8.4,no,yes,poor,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,Network Engineer
7.8,no,no,excellent,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,yes,Content Writer
5.7,no,no,medium,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,Content Writer
8.1,no,no,medium,yes,no,yes,yes,no,NaN,no,no,yes,no,no,no,no,no,yes,Developer
9.5,no,yes,medium,yes,no,yes,no,yes,no,no,no,yes,no,no,no,yes,yes,no,ML engineer
7.8,yes,no,poor,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,Developer
9.2,yes,yes,poor,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,yes,yes,no,Developer
8.7,yes,no,medium,no,NaN,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,Security
8.4,yes,no,medium,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,Data Engineer
8.3,yes,no,medium,yes,yes,yes,no,no,no,NaN,no,no,yes,no,no,no,no,no,Developer
6.3,no,no,medium,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,Network Engineer
8.5,yes,no,excellent,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,Developer
7.9,yes,no,medium,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,Developer
8.5,yes,yes,excellent,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,Data Analysis
8.2,yes,no,medium,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,Developer
6.8,no,no,excellent,no,yes,no,no,yes,no,NaN,no,yes,yes,no,no,no,no,yes,Management
7.5,yes,no,medium,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,Developer
7.4,yes,no,medium,no,no,yes,NaN,yes,no,no,no,yes,no,no,no,no,no,yes,Computer Analyst
